previous_gpa,internal_score,study_hours,attendance,assignment_rate,parental_education,internet_access,extracurricular,performance_label
7.96,72.8,4.0,79.1,90.0,2,1,1,1
4.28,74.6,3.1,68.0,74.1,3,1,1,0
6.91,56.6,9.7,84.7,85.1,2,1,0,1
8.85,86.8,9.2,40.1,100.0,1,0,1,1
3.61,59.3,9.7,70.5,80.9,2,1,1,0
6.83,64.3,10.0,63.0,79.6,1,1,1,1
6.97,58.9,8.1,78.5,46.7,2,1,0,0
7.91,62.3,15.0,79.1,26.6,2,0,0,1
4.27,42.3,2.6,61.4,81.0,2,1,1,0
4.12,36.1,5.7,61.3,72.3,0,1,1,0
7.44,90.7,8.6,70.3,64.7,1,1,1,1
7.03,46.8,2.4,58.6,78.4,2,1,1,0
6.95,44.2,8.3,84.6,72.9,3,1,0,0
7.12,23.2,15.6,66.5,94.3,2,1,1,0
5.28,50.5,9.1,28.4,75.5,2,1,0,0
6.92,38.2,9.9,66.4,60.6,2,1,0,0
7.03,91.6,4.0,56.4,91.8,2,0,1,1
5.21,80.2,6.5,47.5,70.1,1,1,0,0
9.86,49.6,7.5,53.4,83.5,2,1,1,1
7.35,100.0,7.7,73.6,65.4,1,1,1,1
4.36,79.7,14.1,91.9,62.3,3,1,0,1
7.68,56.2,11.2,76.7,75.5,1,0,1,1
4.75,17.0,4.6,62.9,74.2,2,0,1,0
7.92,100.0,10.0,78.8,82.6,0,1,1,1
8.59,37.0,11.0,65.1,69.2,1,1,0,1
5.02,32.4,13.6,61.6,40.9,3,1,0,0
8.23,80.4,15.3,54.7,66.2,1,1,0,1
7.24,100.0,4.9,45.7,88.3,0,1,0,1
7.98,86.9,5.8,66.2,68.6,2,0,0,1
9.91,72.2,4.0,74.4,69.6,0,0,1,1
6.06,72.7,8.1,70.6,91.8,0,1,0,1
5.14,77.4,10.9,65.8,61.2,3,1,1,0
4.9,75.7,12.9,57.8,46.2,3,1,0,0
5.03,67.1,8.7,81.1,71.1,3,1,1,0
6.36,63.9,7.7,52.2,65.3,3,1,1,0
7.11,60.9,9.6,83.6,56.6,2,1,0,1
7.0,48.4,5.7,57.0,70.8,0,1,0,0
7.99,56.9,17.4,60.7,82.8,3,1,1,1
6.52,31.5,2.6,50.0,73.8,3,0,1,0
9.12,60.2,9.7,64.5,79.5,3,0,1,1
6.02,44.2,17.1,86.6,100.0,2,1,0,1
10.0,42.1,9.0,79.7,67.8,1,1,0,1
7.63,65.2,8.2,86.7,79.0,3,1,1,1
4.96,87.1,7.6,79.8,64.8,2,1,1,1
4.57,78.5,8.3,55.4,58.8,3,1,1,0
7.37,33.7,14.5,67.0,63.5,1,0,1,0
6.1,44.2,0.2,60.3,65.4,1,1,1,0
7.79,78.9,15.1,92.0,80.5,1,1,0,1
7.35,44.3,3.3,54.0,100.0,3,1,0,0
6.37,58.0,7.9,85.4,61.1,1,1,0,0
4.98,71.9,7.3,85.4,66.5,0,1,1,0
3.77,44.6,11.4,99.4,72.9,3,1,0,0
5.7,63.9,2.6,65.9,81.1,0,1,0,0
8.04,38.0,10.8,82.7,78.7,3,1,1,1
6.89,51.2,17.1,100.0,97.1,2,1,1,1
4.26,67.8,3.5,62.7,30.3,3,1,1,0
6.81,33.3,9.8,49.0,31.0,2,0,1,0
7.19,69.9,6.4,43.8,65.1,3,0,0,0
4.91,61.6,10.7,82.7,93.8,3,1,1,0
6.78,71.9,9.1,43.8,45.8,0,1,1,0
6.6,66.0,6.4,66.4,19.9,0,1,1,0
4.44,86.6,11.0,78.6,84.3,1,1,0,1
7.14,64.3,16.2,74.8,78.4,2,1,0,1
7.51,54.3,8.2,78.4,54.4,3,1,1,0
8.45,64.2,11.9,75.3,56.3,2,1,1,1
8.4,71.8,3.8,91.2,56.5,2,1,1,1
4.02,62.9,5.2,57.7,76.0,1,0,1,0
4.81,62.7,10.9,61.8,62.7,3,0,1,0
7.43,49.4,14.9,60.4,82.9,3,1,1,1
7.42,50.1,10.4,84.5,22.6,1,1,1,0
7.43,36.8,7.7,85.5,58.6,2,0,0,0
10.0,93.5,9.0,78.8,53.7,0,0,1,1
7.53,39.6,4.0,89.8,69.4,2,1,1,0
8.54,49.5,11.4,54.3,64.3,2,1,0,1
8.22,49.1,12.5,97.0,88.4,1,1,0,1
7.67,78.1,7.2,94.8,40.5,2,1,0,1
5.93,56.7,7.1,83.0,74.8,1,1,1,0
7.87,84.5,10.1,98.7,84.1,2,1,0,1
5.11,49.9,7.3,47.2,100.0,2,1,1,0
6.07,67.0,8.7,64.1,65.3,0,1,0,0
5.63,47.0,17.4,61.0,79.8,3,1,0,1
6.65,100.0,8.0,82.8,41.5,2,1,1,1
10.0,40.6,7.6,56.2,30.9,2,0,0,0
3.14,67.6,6.4,83.4,89.2,0,1,1,0
7.74,73.4,12.0,92.6,73.9,3,1,1,1
3.6,69.4,8.3,82.4,95.2,3,1,1,0
5.65,58.7,6.4,76.3,49.3,1,1,0,0
8.46,59.7,14.3,57.2,83.4,1,1,1,1
6.62,62.8,14.7,59.3,100.0,1,0,1,1
4.56,59.4,6.6,90.7,81.6,2,1,1,0
5.21,79.3,1.5,83.7,79.0,1,1,1,0
7.72,100.0,13.0,71.4,74.2,2,1,1,1
5.19,52.0,6.3,65.7,45.7,2,1,1,0
6.89,37.3,12.2,41.6,98.4,2,0,1,0
6.58,60.4,1.1,55.9,63.0,2,1,0,0
5.33,100.0,12.6,100.0,83.1,2,0,0,1
10.0,47.5,4.2,52.8,45.9,2,1,0,0
7.64,91.5,11.9,74.8,52.8,0,1,0,1
2.85,92.2,9.1,87.1,99.8,0,0,0,0
6.84,52.0,5.2,53.2,67.7,3,1,0,0
5.31,72.2,7.4,74.8,100.0,0,0,1,0
8.03,91.3,11.7,86.1,72.6,2,0,0,1
5.07,55.2,9.4,72.2,40.8,3,1,1,0
6.29,58.3,11.3,100.0,90.1,1,1,0,0
7.41,51.5,16.9,47.0,63.4,2,1,0,1
8.06,43.7,2.7,87.9,86.6,2,1,0,0
4.34,50.3,15.5,69.4,74.5,3,1,0,0
5.9,40.0,9.4,83.6,46.2,3,1,1,0
5.65,62.6,5.4,78.6,77.0,2,0,1,0
5.32,48.1,3.7,61.0,100.0,0,0,0,0
9.68,66.2,8.2,75.4,82.9,2,1,1,1
7.23,34.0,12.7,44.1,73.0,2,1,1,0
4.23,68.0,8.5,81.0,93.4,2,1,1,0
8.15,77.0,15.0,76.5,77.8,0,1,1,1
10.0,26.1,3.2,81.6,77.8,1,1,1,0
8.36,68.7,9.0,87.9,54.4,3,0,1,1
3.77,84.1,4.0,77.5,78.2,2,0,1,0
5.63,40.2,10.5,74.2,92.6,1,1,0,0
8.78,92.1,12.5,58.8,59.0,2,1,0,1
5.23,69.5,7.3,61.3,99.6,3,1,1,0
7.3,49.3,0.0,89.8,72.3,2,0,1,0
7.89,61.0,9.8,93.5,58.0,1,1,1,1
4.83,72.0,10.7,68.4,92.0,1,1,1,1
6.39,63.4,10.6,72.7,68.8,1,0,0,0
0.67,71.7,13.9,58.4,87.7,3,1,1,0
4.66,45.4,4.7,89.6,68.7,2,1,1,0
6.05,65.0,11.7,82.0,72.9,2,1,0,1
4.25,36.6,13.8,100.0,82.9,2,0,1,0
9.44,60.0,1.9,58.8,79.2,2,1,1,0
3.93,45.7,10.3,66.3,38.1,3,1,0,0
5.71,48.8,7.0,75.5,53.8,2,1,1,0
6.74,84.2,8.7,81.7,90.7,1,1,0,1
9.09,81.6,10.4,68.8,71.6,1,0,1,1
3.92,73.0,7.1,58.9,64.6,2,1,0,0
8.59,42.3,6.3,85.2,49.5,3,1,1,0
6.52,56.3,9.1,82.8,54.6,1,1,1,0
4.73,83.8,4.7,58.3,37.6,3,1,0,0
7.33,64.6,4.7,92.3,72.2,3,0,1,1
6.86,100.0,11.7,89.6,63.2,1,1,1,1
5.42,69.1,4.4,74.0,56.6,0,1,0,0
6.63,65.5,11.7,73.2,72.8,1,1,0,1
5.81,56.4,10.9,80.3,80.6,2,1,1,0
6.7,64.4,2.1,59.1,100.0,1,1,1,0
7.69,59.3,6.3,72.5,46.8,2,1,0,0
9.35,74.7,13.8,39.7,94.9,2,1,0,1
4.27,79.2,5.1,85.1,91.5,2,1,0,0
10.0,47.9,7.1,48.6,60.0,1,1,1,1
2.99,38.0,10.8,94.6,77.7,2,1,0,0
6.23,28.9,12.1,67.0,65.8,2,0,1,0
7.56,71.1,8.0,68.8,77.3,2,1,1,1
7.01,42.1,6.6,62.6,100.0,3,1,0,0
5.38,23.2,14.7,67.7,84.9,1,1,1,0
6.13,69.0,16.0,93.3,83.2,3,1,0,1
5.61,100.0,12.9,34.7,66.3,2,1,1,1
5.44,61.9,9.3,91.2,47.3,2,1,0,0
8.03,77.1,5.8,77.1,70.2,2,1,1,1
7.14,63.5,5.7,53.9,95.7,2,1,1,1
5.25,60.2,11.1,55.9,46.5,1,1,0,0
8.12,78.5,10.7,97.1,55.0,2,1,0,1
7.05,56.8,14.6,57.8,76.3,2,1,0,1
7.96,66.8,11.6,54.7,56.3,2,1,0,1
7.63,67.8,3.0,89.1,59.7,1,0,1,0
5.01,50.0,13.2,77.1,66.4,3,1,1,0
5.49,79.9,5.0,57.9,49.4,2,1,1,0
7.85,58.9,7.5,75.2,56.5,0,0,1,1
7.6,48.4,10.0,56.6,86.7,2,0,1,0
6.46,71.7,17.0,88.5,50.5,3,1,1,1
6.71,45.8,20.0,87.9,45.2,3,1,0,1
8.8,62.5,11.4,80.0,62.7,2,1,0,1
5.44,61.8,8.3,77.4,87.2,3,1,0,0
7.48,81.5,11.1,98.4,70.5,1,0,1,1
6.14,70.5,12.6,72.0,65.6,2,1,0,1
6.11,61.5,7.7,54.3,74.8,3,1,0,0
8.48,76.7,16.2,78.7,42.6,3,1,0,1
7.99,87.0,9.9,100.0,82.9,2,1,1,1
7.96,72.0,11.0,56.8,80.9,3,1,0,1
8.85,62.2,11.7,66.6,66.6,0,0,0,1
6.54,38.4,10.7,78.2,92.1,3,0,0,1
7.73,42.8,12.4,71.2,53.7,1,0,0,0
5.94,56.5,6.5,57.3,94.3,1,1,1,0
7.08,51.0,6.8,88.8,76.8,1,1,0,0
6.27,58.6,4.6,100.0,67.9,2,1,0,0
6.67,63.0,10.8,74.9,73.6,1,1,1,1
7.57,71.5,12.1,58.4,72.1,1,1,0,1
5.03,60.7,10.8,48.8,96.0,1,1,0,0
10.0,70.8,15.7,75.9,54.6,1,1,1,1
4.69,63.2,9.0,88.6,60.3,2,0,0,0
4.31,26.4,11.7,79.1,92.7,2,1,0,0
8.58,45.1,4.6,72.0,63.3,1,1,0,0
7.92,59.4,7.5,63.2,90.2,2,1,1,0
7.62,40.2,11.8,55.6,100.0,3,1,1,1
7.63,72.8,12.4,84.5,66.8,3,1,1,1
6.48,89.6,7.8,85.7,86.3,1,1,1,1
4.88,83.9,8.7,48.8,53.2,2,1,0,0
6.64,58.2,2.9,95.8,87.6,1,1,0,0
5.28,88.8,7.6,80.6,77.6,1,1,1,1
8.26,64.7,12.6,93.0,82.5,1,1,1,1
6.24,55.9,11.3,51.9,62.4,3,1,0,0
5.01,51.0,11.0,51.5,44.1,1,1,1,0
5.92,56.6,9.2,69.8,83.1,0,1,0,0
7.24,55.0,9.0,79.5,36.9,1,1,0,0
5.49,65.1,6.4,98.9,68.3,3,1,0,0
5.02,64.9,11.8,82.6,90.9,2,1,0,1
6.94,62.1,10.7,68.4,77.5,1,1,1,1
6.94,69.9,11.0,56.6,100.0,2,0,1,1
5.59,83.4,6.9,90.5,92.5,2,0,0,1
5.65,79.1,0.4,57.5,62.2,2,1,0,0
6.92,35.3,13.4,96.4,74.5,1,1,1,1
3.89,16.0,7.1,67.7,73.1,3,1,0,0
3.97,78.8,5.5,95.9,45.5,1,1,1,0
5.21,37.4,11.8,82.2,57.1,2,0,0,0
6.12,58.0,7.4,69.9,63.9,0,1,1,0
7.06,40.9,13.2,64.2,37.3,2,1,0,0
9.16,29.6,11.5,66.9,74.9,2,1,0,1
8.04,71.7,11.7,78.4,69.5,2,1,0,1
6.21,75.7,3.5,73.2,43.9,0,1,0,0
6.47,51.6,13.8,63.1,81.3,3,0,0,1
4.7,15.4,10.0,69.5,86.9,1,1,1,0
6.47,52.2,7.5,73.2,78.1,2,1,0,0
5.98,69.1,9.6,40.1,68.2,3,1,0,0
7.08,35.4,1.9,78.9,84.6,2,1,1,0
5.01,65.3,10.6,57.3,86.2,2,1,1,0
7.43,61.7,4.9,54.7,79.5,2,1,1,0
9.26,72.4,3.6,46.7,59.2,2,1,1,1
6.3,64.2,2.9,45.1,79.0,3,1,1,0
7.22,44.5,13.5,51.7,95.5,1,1,1,1
7.74,83.5,6.5,61.4,63.3,2,1,1,1
5.78,59.1,15.1,100.0,100.0,2,1,1,1
6.9,61.5,6.9,64.1,64.5,2,1,0,1
6.52,45.2,2.2,74.7,74.6,1,1,0,0
6.68,54.0,4.5,78.0,61.9,2,0,0,0
5.11,46.1,13.9,74.0,78.0,3,0,1,0
6.54,58.9,8.4,70.8,42.6,3,1,1,0
7.4,92.8,6.8,54.1,64.2,2,1,1,1
9.11,37.3,9.6,93.8,54.3,2,1,0,1
8.23,33.0,11.0,99.1,76.4,3,1,1,1
10.0,88.5,13.5,46.8,91.9,0,0,1,1
5.12,58.2,14.8,56.6,85.6,1,1,0,0
8.07,50.0,7.6,67.8,31.3,2,1,1,0
6.83,80.7,3.7,57.5,100.0,3,1,0,1
10.0,51.1,7.3,79.6,79.3,3,0,1,1
5.05,94.9,10.0,61.1,60.0,2,1,1,1
4.99,74.2,5.1,100.0,76.8,0,1,1,0
5.42,53.2,5.2,89.9,77.2,2,1,1,0
2.68,100.0,10.4,75.2,62.0,1,1,1,1
5.55,51.1,8.8,87.4,77.6,1,1,1,0
5.13,75.4,9.1,88.6,63.1,3,1,0,1
6.77,67.4,6.0,63.5,66.7,0,1,1,0
7.12,85.4,8.1,59.8,61.6,3,0,0,1
9.88,90.1,5.3,73.2,48.2,2,1,0,1
8.21,62.6,12.6,84.9,76.6,2,1,1,1
5.46,48.4,13.1,74.1,84.5,0,0,1,0
4.88,70.3,1.6,48.3,83.3,1,0,0,0
7.39,49.8,5.3,60.0,88.8,0,1,0,0
4.12,98.2,3.0,70.9,79.8,3,1,0,0
9.8,64.5,6.4,70.9,64.4,3,1,0,1
8.62,55.4,8.7,100.0,89.1,2,1,0,1
5.66,65.3,3.2,51.2,49.6,1,0,1,0
3.42,37.8,5.3,79.6,57.8,3,0,0,0
8.94,44.5,5.0,94.3,56.6,1,1,1,0
6.29,83.6,9.8,100.0,93.4,1,0,0,1
8.73,50.2,9.3,65.9,91.0,2,1,1,1
3.63,43.2,6.1,79.4,82.8,3,1,0,0
5.42,71.7,9.7,80.5,93.3,0,1,0,1
6.51,83.3,6.8,74.9,58.2,1,1,0,1
6.58,74.9,7.9,70.5,80.3,3,0,1,1
5.69,79.9,15.7,78.5,71.7,1,1,1,1
7.62,48.4,14.4,34.0,89.2,1,0,0,1
4.58,36.4,3.8,82.2,71.9,2,1,0,0
6.24,89.0,12.3,73.9,67.1,3,1,0,1
6.72,56.2,12.2,68.7,83.7,2,1,1,1
7.43,57.5,4.4,100.0,89.8,3,1,1,1
7.78,85.9,12.3,61.9,62.0,2,0,0,1
4.48,72.0,15.2,66.0,72.9,0,1,0,1
3.74,70.2,4.5,100.0,54.9,3,1,0,0
8.8,100.0,5.3,59.5,29.0,2,1,0,1
7.1,50.4,13.1,63.7,77.6,1,0,1,1
5.15,78.7,10.1,69.8,85.0,2,1,0,1
9.29,63.0,11.2,84.6,78.7,1,0,0,1
6.71,66.8,10.4,75.1,38.9,0,1,0,0
8.62,89.5,10.6,52.6,67.7,0,1,1,1
6.62,71.1,3.7,64.0,34.1,2,1,1,0
10.0,71.7,13.2,62.9,98.7,3,1,0,1
9.66,81.3,13.7,70.8,54.5,2,1,0,1
6.05,55.4,8.1,78.4,96.6,3,1,0,0
8.25,46.9,8.8,78.3,91.0,1,0,1,1
7.66,43.2,2.9,45.4,57.8,1,1,0,0
8.96,26.6,11.1,88.0,53.6,1,0,1,1
4.76,99.0,11.3,75.8,80.3,1,1,1,1
7.73,42.1,8.8,92.8,58.8,1,1,1,0
8.41,58.0,13.5,78.7,75.8,3,1,0,1
3.33,57.0,7.7,88.5,65.3,3,1,1,0
4.37,67.5,11.3,79.0,41.9,3,1,1,0
2.83,76.7,4.9,92.2,33.9,1,1,0,0
6.02,77.5,8.9,79.8,78.1,3,0,0,1
7.79,51.5,8.3,70.5,63.9,1,1,0,0
9.2,59.0,9.9,100.0,64.0,1,1,0,1
6.63,67.1,7.5,85.3,86.5,3,1,0,1
9.43,57.5,8.5,80.6,95.1,2,1,1,1
4.02,90.9,12.3,52.9,69.1,1,1,0,1
3.43,70.8,7.3,52.7,67.9,2,1,1,0
6.4,75.2,2.6,76.4,83.0,1,0,0,0
7.19,73.9,16.0,74.2,49.6,2,1,1,1
6.44,83.1,14.5,62.8,78.0,2,1,0,1
2.78,65.3,3.8,74.1,83.9,3,1,1,0
6.34,38.7,11.8,95.8,86.2,0,1,0,1
4.15,69.2,7.0,82.4,39.1,2,1,0,0
7.71,50.3,10.1,54.9,60.3,2,0,1,0
7.16,52.5,10.2,70.3,58.2,2,1,0,0
4.81,72.6,8.1,59.9,75.8,1,0,1,0
5.58,84.3,5.9,66.2,82.7,2,1,1,0
4.59,62.4,6.2,65.8,100.0,3,1,1,0
6.39,67.6,5.3,64.8,65.1,3,1,1,0
8.22,92.6,5.7,53.2,65.0,3,1,1,1
4.73,66.3,8.7,70.1,94.7,3,0,0,0
7.41,100.0,6.1,63.6,79.3,2,1,1,1
5.55,72.2,11.7,28.1,96.8,3,1,1,0
5.07,30.3,14.9,100.0,79.2,1,1,0,1
6.31,75.6,6.7,88.3,53.2,2,1,0,1
4.64,68.9,10.0,66.4,50.0,1,1,1,0
5.5,85.2,11.0,72.3,46.1,2,1,0,1
4.34,74.1,10.9,54.4,85.9,1,0,0,0
10.0,59.5,9.3,97.4,95.4,3,1,0,1
6.56,40.0,12.0,100.0,100.0,1,0,1,1
5.24,58.2,10.9,74.4,89.2,0,1,0,1
6.89,46.7,4.0,87.4,94.9,2,1,1,0
6.3,51.6,12.5,74.6,63.6,0,0,1,1
6.1,72.6,12.5,51.9,53.2,1,0,0,0
7.61,92.1,5.9,65.8,89.3,1,1,1,1
7.86,69.1,9.2,74.0,81.5,2,1,1,1
5.55,40.5,11.7,65.2,75.9,2,0,1,0
5.46,70.0,8.2,68.7,81.0,3,0,1,0
6.0,83.5,13.3,70.6,79.8,2,1,0,1
2.36,51.0,18.5,70.8,97.1,2,1,1,0
3.77,59.6,5.9,72.8,97.3,1,1,0,0
8.96,62.3,3.5,56.1,83.8,1,0,0,0
9.46,47.9,10.2,61.2,89.2,3,1,0,1
6.05,73.7,11.9,52.7,83.3,0,0,0,1
7.54,59.8,8.1,86.7,65.7,0,0,1,1
7.06,69.6,14.8,40.4,87.6,3,1,0,1
10.0,46.0,3.6,89.3,48.9,2,1,1,0
8.52,54.1,11.8,92.8,93.0,1,1,1,1
6.27,75.0,6.6,67.5,52.5,1,1,1,1
4.78,55.3,15.9,33.0,79.1,3,1,0,0
3.61,93.1,17.0,66.6,58.8,3,1,1,1
6.87,54.8,5.9,71.0,84.0,2,1,0,0
5.14,66.0,6.8,56.8,73.4,2,1,0,0
3.94,78.8,12.4,64.3,45.3,2,1,1,0
5.34,36.5,7.5,95.0,81.6,3,1,0,0
4.55,30.3,8.8,82.0,63.6,3,1,0,0
9.54,34.5,9.1,58.1,89.9,1,1,1,0
8.09,84.7,1.3,48.0,74.0,3,1,0,1
6.49,52.1,8.9,67.1,81.1,1,1,1,1
9.16,100.0,6.2,68.8,56.8,1,1,0,1
6.64,51.8,7.0,79.4,63.4,2,1,0,0
4.95,65.3,14.8,64.0,65.7,2,0,0,0
9.24,89.8,4.0,79.7,89.4,3,1,0,1
7.47,98.1,12.3,100.0,100.0,0,1,0,1
